Urban area,State,Population,Housing,Land area (square miles)
Abbeville, LA,"18,078","8,521",11.1
Abbeville, SC,"4,940","2,453",4.9
Aberdeen, SD,"27,982","13,246",13.9
Aberdeen, WA,"26,603","11,561",11
Abilene, KS,"6,605","3,216",3.6
Abilene, TX,"118,138","50,514",62
Ada, OH,"5,343","1,984",2.1
Ada, OK,"17,264","8,654",14.2
Adairsville, GA,"5,799","2,287",5.4
Adel, GA,"7,034","2,965",6.1
Adel, IA,"5,674","2,250",2.7
Adjuntas, PR,"8,008","3,687",4.9
Adrian, MI,"29,206","11,726",13.4
Agat_Apra Harbor, GU,"8,712","2,881",4
Aguadilla_Isabela_San Sebastián, PR,"232,573","114,369",187.3
Ahoskie, NC,"4,861","2,308",3.3
Aibonito, PR,"20,255","9,140",13.3
Akron, OH,"541,879","251,080",300.6
Alamogordo, NM,"30,801","15,200",13.7
Alamosa, CO,"10,965","4,656",7.7
Albany, GA,"85,960","39,864",66.5
Albany, OR,"62,074","25,245",23
Albany_Schenectady, NY,"593,142","272,369",271.3
Albemarle, NC,"16,988","7,840",16.7
Albert Lea, MN,"17,992","8,366",10.8
Albertville, AL,"38,476","15,505",34.8
Albion, MI,"8,133","3,472",4.7
Albion, NY,"7,216","2,746",2.9
Albuquerque, NM,"769,837","335,464",263.1
Alexander City, AL,"8,920","4,428",9.8
Alexandria, IN,"6,140","2,955",3.8
Alexandria, LA,"78,305","35,538",64.7
Alexandria, MN,"18,957","9,895",22.6
Algona, IA,"5,443","2,684",3.4
Alice, TX,"19,413","7,966",10
Allegan, MI,"7,247","3,137",6.9
Allendale, MI,"25,094","8,006",10.5
Allentown_Bethlehem, PA_NJ,"621,703","251,480",261.5
Alliance, NE,"8,119","3,956",4.9
Alliance, OH,"30,944","14,282",17.3
Alma_St. Louis, MI,"17,417","5,455",9
Alpena, MI,"15,425","8,062",12.7
Alpine, CA,"13,307","5,022",9.8
Alpine, TX,"6,283","3,292",4.3
Altavista, VA,"4,597","2,250",5.9
Alton, IL,"79,260","38,052",59.7
Altoona, PA,"74,426","34,467",37
Altus, OK,"18,870","9,194",15.7
Alva, OK,"5,145","2,637",3.6
Alvarado, TX,"5,034","1,869",3
Amarillo, TX,"205,860","87,615",84
Americus, GA,"17,407","7,609",11
Ames, IA,"66,342","27,846",22.4
Amherst Town_Northampton_Easthampton Town, MA,"90,570","35,432",54.7
Amory, MS,"5,977","2,952",5.6
Amsterdam, NY,"21,753","10,808",10.1
Anaconda_Deer Lodge County, MT,"6,697","3,828",2.6
Anacortes, WA,"18,529","8,883",9.9
Anadarko, OK,"5,005","2,252",2.1
Anamosa, IA,"5,411","2,093",2.6
Anchorage Northeast, AK,"29,561","11,251",17.7
Anchorage, AK,"249,252","101,938",91.7
Andalusia, AL,"6,391","3,351",6.9
Anderson, IN,"79,517","36,893",52.2
Anderson_Clemson, SC,"118,369","50,811",95.9
Andrews, TX,"15,201","5,797",9.5
Angleton, TX,"19,866","8,221",10.9
Angola, IN,"12,686","6,728",12.4
Ann Arbor, MI,"317,689","137,325",143.5
Anna, IL,"6,068","2,749",4.4
Anniston_Oxford, AL,"78,302","35,959",78.9
Antigo, WI,"8,071","4,130",4.8
Antioch, CA,"326,205","104,264",73.3
Appleton, WI,"230,967","98,811",107.8
Arab, AL,"7,849","3,494",8.7
Aransas Pass_Port Aransas_Ingleside, TX,"21,868","13,912",24.6
Arcadia, FL,"16,128","7,287",10
Arcata, CA,"19,714","8,796",7.9
Ardmore, OK,"21,403","10,020",15
Arecibo, PR,"123,724","59,095",75.5
Arizona City, AZ,"9,640","4,466",4.3
Arkadelphia, AR,"10,086","4,205",6.2
Arkansas City, KS,"11,878","5,372",6.8
Arlington, TN,"14,230","4,634",7.7
Arroyo Grande_Grover Beach_Pismo Beach, CA,"50,885","25,235",17.1
Artesia, NM,"14,149","5,937",6.8
Arvin, CA,"19,385","4,870",2.3
Asbury Lake_Middleburg, FL,"23,649","8,746",23
Ashburn, GA,"4,738","2,086",4.2
Asheboro, NC,"37,523","16,252",27.4
Asheville, NC,"285,776","138,374",248.6
Ashland, OH,"19,206","8,954",9.9
Ashland, PA,"4,249","2,530",1.4
Ashland, WI,"7,225","3,543",4.2
Ashtabula, OH,"27,421","14,439",21.7
Ashville, OH,"6,670","2,715",3.8
Aspen, CO,"7,674","6,597",5.2
Astoria, OR,"15,825","7,690",9.7
Atchison, KS,"10,907","4,385",5.4
Athens, AL,"23,204","10,492",20.1
Athens, OH,"27,355","10,036",9.5
Athens, TN,"15,724","7,179",15.5
Athens, TX,"12,050","4,960",9.3
Athens_Clarke County, GA,"143,213","60,979",91.8
Athol, MA,"13,557","6,243",10.6
Atlanta, GA,"4,999,259","1,998,084",2450.5
Atlanta, TX,"5,531","2,659",6.8
Atlantic City_Ocean City_Villas, NJ,"294,921","201,613",162.9
Atlantic, IA,"6,608","3,309",4.5
Atmore, AL,"6,390","3,151",5.1
Atoka, TN,"13,056","4,834",9.9
Au Gres, MI,"1,869","2,201",4
Aubrey, TX,"5,116","1,963",2.7
Auburn, AL,"100,842","44,840",61.2
Auburn, CA,"31,371","13,842",17.2
Auburn, IN,"20,346","8,813",9.9
Auburn, NY,"31,433","15,338",13.1
Augusta, KS,"9,231","4,004",3.7
Augusta, ME,"24,005","12,627",21.9
Augusta_Richmond County, GA_SC,"431,480","184,589",273.3
Aurora, MO,"7,466","3,488",5.3
Austin, MN,"25,479","10,764",10
Austin, TX,"1,809,888","765,527",619.6
Avalon, CA,"3,362","2,165",1.2
Avenal, CA,"13,304","2,480",3.6
Aztec, NM,"7,301","3,446",6.8
Bainbridge, GA,"13,857","6,070",10.7
Baker City, OR,"9,768","4,509",4.5
Bakersfield, CA,"570,235","186,629",132.1
Baltimore, MD,"2,212,038","944,161",654.9
Bandon, OR,"4,104","2,514",4.9
Bangor, ME,"61,539","28,723",51.1
Baraboo, WI,"14,201","6,569",6.8
Barbourville, KY,"5,998","2,744",5.3
Barceloneta_Florida_Bajadero, PR,"65,070","29,534",41.7
Bardstown, KY,"17,682","7,738",13.4
Barnesville, GA,"6,825","2,796",5.8
